Year,Length (min),Title,Subject,Actor,Actress,Director,Popularity,Awards,"Filter cells that had ""The"" at end"
1931,125,Cimarron,Western,Richard Dix,Estelle Taylor,Wesley Ruggles,44,Yes,FALSE
1932,,Hurricane Express,Western,John Wayne,,,7,No,FALSE
1934,54,Hell Town,Western,John Wayne,,,23,No,FALSE
1934,54,Lucky Texan,Western,John Wayne,,,48,No,FALSE
1935,54,The Desert Trail ,Western,John Wayne,Mary Kornman,Lewis D. Collins,50,No,TRUE
1935,234,The Adventures of Rex & Rinty ,Western,the Wonder Horse Rex,Norma Taylor,Ford Beebe,87,No,TRUE
1937,60,The Throwback ,Western,Buck Jones,,Ray Taylor,53,No,TRUE
1937,60,Tex Rides with the Boy Scouts,Western,Tex Ritter,,Ray Taylor,17,No,FALSE
1937,60,Mystery of the Hooded Horsemen,Western,Tex Ritter,,Ray Taylor,52,No,FALSE
1938,110,John Wayne Matinee Double Feature No. 4,Western,John Wayne,,,28,No,FALSE
1938,55,Pals of the Saddle,Western,John Wayne,,George Sherman,33,No,FALSE
1938,298,Flaming Frontiers,Western,Johnny Mack Brown,Eleanor Hansen,Ray Taylor,82,No,FALSE
1938,55,Overland Stage Raiders,Western,John Wayne,,George Sherman,83,No,FALSE
1939,112,John Wayne Matinee Double Feature No. 2,Western,John Wayne,,,3,No,FALSE
1939,110,John Wayne Matinee Double Feature No. 3,Western,John Wayne,,,24,No,FALSE
1939,109,John Wayne Matinee Double Feature No. 1,Western,John Wayne,Ann Rutherford,,30,No,FALSE
1939,55,Frontier Horizon,Western,John Wayne,,,73,No,FALSE
1940,56,Riders of Pasco Basin,Western,Johnny Mack Brown,Frances Robinson,Ray Taylor,17,No,FALSE
1940,90,In Old California,Western,John Wayne,,William McGann,27,No,FALSE
1940,95,Dark Command,Western,John Wayne,Claire Trevor,Raoul Walsh,52,No,FALSE
1940,57,Law & Order,Western,Johnny Mack Brown,Nell O'Day,Ray Taylor,87,No,FALSE
1941,94,Texas,Western,William Holden,Claire Trevor,George Marshall,79,No,FALSE
1941,57,Bury Me Not on the Lone Prairie,Western,Johnny Mack Brown,Nell O'Day,Ray Taylor,85,No,FALSE
1941,56,Man from Montana,Western,Johnny Mack Brown,Nell O'Day,Ray Taylor,85,No,FALSE
1943,60,The Lone Star Trail ,Western,Johnny Mack Brown,Tex Ritter,Ray Taylor,27,No,TRUE
1945,82,Dakota,Western,John Wayne,,Joseph Kane,27,No,FALSE
1945,91,Flame of Barbary Coast,Western,John Wayne,Ann Dvorak,Joseph Kane,54,No,FALSE
1946,97,My Darling Clementine,Western,Henry Fonda,Cathy Downs,John Ford,12,No,FALSE
1947,58,The Fighting Vigilantes ,Western,Lash LaRue,,Ray Taylor,21,No,TRUE
1947,56,West to Glory,Western,Eddie Dean,,Ray Taylor,43,No,FALSE
1947,56,Hawk of Powder River,Western,Eddie Dean,Jennifer Holt,Ray Taylor,61,No,FALSE
1947,53,Law of the Lash,Western,Lash LaRue,,Ray Taylor,66,No,FALSE
1947,61,Check Your Guns,Western,Eddie Dean,,Ray Taylor,80,No,FALSE
1947,96,Angel & the Badman,Western,John Wayne,Gail Russell,James Edward Grant,84,No,FALSE
1948,60,The Bold Frontiersman ,Western,Allan Lane,,Philip Ford,18,No,TRUE
1948,59,The Wild Frontier ,Western,Allan Lane,,Philip Ford,61,No,TRUE
1948,127,Fort Apache,Western,Henry Fonda,Shirley Temple,John Ford,4,No,FALSE
1948,103,Three Godfathers,Western,John Wayne,Jane Darwell,John Ford,72,No,FALSE
1948,59,Bandits of Dark Canyon,Western,Allan Lane,,Philip Ford,72,No,FALSE
1949,59,Law of the Golden West,Western,Monte Hale,,Philip Ford,1,No,FALSE
1949,60,Pioneer Marshal,Western,Monte Hale,,Philip Ford,8,No,FALSE
1949,58,Crashing Thru,Western,Whip Wilson,Christine Larson,Ray Taylor,19,No,FALSE
1949,60,Ranger of the Cherokee Strip,Western,Monte Hale,,Philip Ford,31,No,FALSE
1949,59,Shadows of the West,Western,Whip Wilson,,Ray Taylor,40,No,FALSE
1949,66,Outlaw Country,Western,Lash LaRue,,Ray Taylor,62,No,FALSE
1949,93,She Wore a Yellow Ribbon,Western,John Wayne,Joanne Dru,John Ford,84,No,FALSE
1950,60,Vanishing Westerner,Western,Monte Hale,,Philip Ford,6,No,FALSE
1950,86,Wagon Master,Western,Ben Johnson,Joanne Dru,John Ford,30,No,FALSE
1950,105,Rio Grande,Western,John Wayne,Maureen O'Hara,John Ford,64,No,FALSE
1952,90,Big Jim McLain,Western,John Wayne,Nancy Olson,Edward Ludwig,14,No,FALSE
1954,91,Apache,Western,Burt Lancaster,,Robert Aldrich,78,No,FALSE
1956,119,The Searchers ,Western,John Wayne,Natalie Wood,John Ford,9,No,TRUE
1957,60,The Cheyenne  Iron Trail,Western,Clint Walker,,,1,No,TRUE
1957,120,Gunfight at the OK Corral,Western,Burt Lancaster,Rhonda Fleming,John Sturges,84,No,FALSE
1959,102,The Horse Soldiers ,Western,John Wayne,Althea Gibson,John Ford,76,No,TRUE
1959,60,Maverick Duel at Sundown,Western,James Garner,,,26,No,FALSE
1959,60,Rawhide Premiere Episode,Western,Clint Eastwood,,,54,No,FALSE
1960,122,North to Alaska,Western,John Wayne,,Henry Hathaway,31,No,FALSE
1961,141,One Eyed Jacks,Western,Karl Malden,,Marlon Brando,26,No,FALSE
1962,123,The Man Who Shot Liberty Valance ,Western,James Stewart,Vera Miles,John Ford,85,No,TRUE
1966,99,The Appaloosa ,Western,Marlon Brando,Anjanette Comer,Sidney J. Furie,15,No,TRUE
1966,82,Ride in the Whirlwind,Western,Jack Nicholson,,Monte Hellman,26,No,FALSE
1967,105,Chuka,Western,Rod Taylor,,,47,No,FALSE
1967,111,Hombre,Western,Paul Newman,Diane Cilento,Martin Ritt,50,No,FALSE
1967,114,Hang 'em High,Western,Clint Eastwood,Inger Stevens,Ted Post,67,No,FALSE
1968,100,The Scalphunters ,Western,Burt Lancaster,Shelley Winters,Sydney Pollack,33,No,TRUE
1968,106,Bandolero!,Western,James Stewart,Raquel Welch,Andrew V. McLaglen,9,No,FALSE
1969,144,The Wild Bunch ,Western,William Holden,,Sam Peckinpah,50,No,TRUE
1969,110,Butch Cassidy & the Sundance Kid,Western,Paul Newman,Katharine Ross,George Roy Hill,29,Yes,FALSE
1969,110,One Hundred Rifles,Western,Burt Reynolds,Raquel Welch,Tom Gries,48,No,FALSE
1969,101,Smith!,Western,Glenn Ford,Nancy Olson,Michael O'Herlihy,62,No,FALSE
1969,128,True Grit,Western,John Wayne,Kim Darby,Henry Hathaway,77,Yes,FALSE
1970,93,Powderkeg,Western,Rod Taylor,,Douglas Heyes,26,No,FALSE
1970,99,Monte Walsh,Western,Lee Marvin,Jeanne Moreau,William A. Fraker,29,No,FALSE
1970,105,Two Mules for Sister Sara,Western,Clint Eastwood,Shirley MacLaine,Don Siegel,36,No,FALSE
1970,111,Chisum,Western,John Wayne,,Andrew V. McLaglen,72,No,FALSE
1971,88,Joe Kidd,Western,Clint Eastwood,,John Sturges,79,No,FALSE
1972,92,The Culpepper Cattle Company ,Western,Gary Grimes,,Dick Richards,29,No,TRUE
1972,128,The Cowboys ,Western,John Wayne,,Mark Rydell,58,No,TRUE
1972,124,The Life & Times of Judge Roy Bean ,Western,Paul Newman,Jacqueline Bisset,John Huston,65,No,TRUE
1973,127,The Man Who Loved Cat Dancing ,Western,Burt Reynolds,Sarah Miles,Richard C. Sarafian,40,No,TRUE
1973,102,Cahill United States Marshal,Western,John Wayne,Marie Windsor,Andrew V. McLaglen,12,No,FALSE
1973,93,Santee,Western,Glenn Ford,,Gary Nelson,47,No,FALSE
1973,105,Deadly Trackers,Western,Richard Harris,,,54,No,FALSE
1973,105,High Plains Drifter,Western,Clint Eastwood,Verna Bloom,Clint Eastwood,57,No,FALSE
1975,94,Posse,Western,Kirk Douglas,,Kirk Douglas,76,No,FALSE
1975,107,Rooster Cogburn,Western,John Wayne,Katharine Hepburn,Stuart Miller,76,No,FALSE
1979,180,The Last Ride of the Dalton Gang ,Western,Jack Palance,Lindsay Greenbush,Dan Curtis,62,No,TRUE
1979,198,The Sacketts ,Western,Sam Elliott,Ruth Roman,Robert Totten,86,No,TRUE
1985,116,Pale Rider,Western,Clint Eastwood,Carrie Snodgress,Clint Eastwood,45,No,FALSE
1987,91,The Quick &  Dead ,Western,Sam Elliott,Kate Capshaw,Robert Day,40,No,TRUE
1989,,Death Valley Days No Gun Behind His Badge,Western,Ronald Reagan,,,1,No,FALSE
1989,,Death Valley Days Deadly Decision,Western,James Caan,,,9,No,FALSE
1990,86,Wagonmaster,Western,Ben Johnson,,John Ford,1,No,FALSE
1990,181,Dances with Wolves,Western,Kevin Costner,Mary McDonnell,Kevin Costner,8,Yes,FALSE
1990,,Sagebrush Trail,Western,John Wayne,,,23,No,FALSE
1990,,John Wayne Six Pack,Western,John Wayne,,,87,No,FALSE
1991,56,The Lawless Nineties ,Western,John Wayne,,,3,No,TRUE
1991,52,The Lawless Frontier ,Western,John Wayne,,,35,No,TRUE
1991,132,The Sea of Grass ,Western,Spencer Tracy,Katharine Hepburn,Elia Kazan,75,No,TRUE
1991,,John Wayne Western Greats Rio Bravo,Western,John Wayne,,,22,No,FALSE
1991,54,Neath the Arizona Skies,Western,John Wayne,,,28,No,FALSE
1991,52,Riders of Destiny,Western,John Wayne,,,30,No,FALSE
1991,,John Wayne Four Pack,Western,John Wayne,,,58,No,FALSE
1991,53,Randy Rides Alone,Western,John Wayne,,,75,No,FALSE
1991,56,King of the Pecos,Western,John Wayne,,,78,No,FALSE
1992,102,The Left Handed Gun ,Western,Paul Newman,,,26,No,TRUE
1992,56,The Dawn Rider ,Western,John Wayne,,,44,No,TRUE
1992,59,Lawless Frontier,Western,John Wayne,,,8,No,FALSE
1992,134,Red River,Western,John Wayne,,,16,No,FALSE
1992,83,Apache Woman,Western,Lloyd Bridges,Joan Taylor,Roger Corman,32,No,FALSE
1992,165,How the West Was Won,Western,Henry Fonda,,,45,No,FALSE
1993,,The Duke  Films of John Wayne,Western,John Wayne,,,70,No,TRUE
1993,102,Today We Kill....Tomorrow We Die,Western,Montgomery Ford,,,25,No,FALSE
1993,,Neath Arizona Skies,Western,John Wayne,,,73,No,FALSE
1993,58,Range Feud,Western,John Wayne,,,77,No,FALSE
1964,102,A Fistful of Dollars,Western,Clint Eastwood,Gian Maria Volonte,Sergio Leone,61,No,FALSE
1968,113,Shalako,Western,Sean Connery,Brigitte Bardot,Edward Dmytryk,0,No,FALSE
1980,116,Bronco Billy,Western,Clint Eastwood,Sondra Locke,Clint Eastwood,57,No,FALSE
1991,,The Clint Eastwood Collection ,Western,Clint Eastwood,,,11,No,TRUE
1991,130,For a Few Dollars More,Western,Clint Eastwood,,Sergio Leone,34,No,FALSE
1992,163,The Good the Bad & the Ugly ,Western,Clint Eastwood,,,68,No,TRUE
1953,61,White Lightning,Drama,Stanley Clements,Gloria Blondell,Edward Bernds,,No,FALSE
1980,180,Wild Times,Western,Sam Elliott,Penny Peyser,Richard Compton,75,No,FALSE
